gid,teacher,p,r_t,r_s,n,eta,M,seed,ckpt,rho2,L_late,L_V_opt,ratio,cm0,cm_mid,cm_end,mean_end,t_plateau,t_sat,gap_sat,d_mean_plat,d_min_plat,t50,s_band,tau_V_sq,diverged
R5,relu,100,8,30,15000,1.5,30,11,relu_p100_rt8_rs30_n15000_eta1.5_seed11.npz,0.9999999999295929,1.4167032706163,0.07661875641292482,18.49029319898119,7.853287801225257e-05,0.01904152441859183,0.8188514470159448,0.9187400506869202,581.0,7140.0,18.902623676451757,0.39511898209680407,0.8186868471804258,5460.0,0.0004591836734693878,0.2235024107439188,False
R5,relu,100,8,30,15000,1.5,30,23,relu_p100_rt8_rs30_n15000_eta1.5_seed23.npz,0.9999999999332023,1.4101465901312975,0.08725073134595676,16.162003095881722,0.002535924374731172,0.2987310363669635,0.8307483463093547,0.9310398903301085,565.0,7280.0,16.328071494128217,0.42652582408984574,0.8236690863631331,4500.0,0.0004017857142857143,0.2631251449520224,False
R5,relu,100,8,30,15000,1.5,30,37,relu_p100_rt8_rs30_n15000_eta1.5_seed37.npz,0.9999999999319067,1.4061828230881652,0.09004096414702943,15.61714533389475,0.004171350897007301,0.5401654519634232,0.8988730969440984,0.9493463854086868,559.0,7120.0,16.121562030344627,0.37786393297212606,0.8843633887835171,3640.0,0.00019736842105263157,0.24915769909360025,False
R5,relu,100,8,30,15000,1.5,30,41,relu_p100_rt8_rs30_n15000_eta1.5_seed41.npz,0.9999999999195256,1.4200259406426115,0.08718231199838611,16.28800507915985,5.658650755291668e-08,0.001985041928430131,0.8484679641707441,0.9300760567525497,576.0,7220.0,16.338404071726163,0.3819244618629518,0.8463012194385697,4600.0,0.0017307692307692308,0.2764606672945755,False
R5,relu,100,8,30,15000,1.5,30,53,relu_p100_rt8_rs30_n15000_eta1.5_seed53.npz,0.999999999929358,1.4157213504850115,0.06438017561148474,21.99002001840551,0.00016796051236273501,0.6731447766157428,0.8849117717268516,0.9387520603732658,559.0,7080.0,22.121865496509542,0.4101146622981173,0.8790734739733399,3060.0,0.00023437500000000002,0.25874823698201377,False
R5,relu,100,8,30,15000,1.5,30,67,relu_p100_rt8_rs30_n15000_eta1.5_seed67.npz,0.9999999999133606,1.4114134423907407,0.08769524763025548,16.094525992350277,0.0008527285134269232,0.0819927286751573,0.7683364884658362,0.9227976725163236,567.0,7700.0,16.53848528793789,0.4314600169575411,0.7541924568650232,6800.0,0.00012295081967213115,0.23970223902565715,False
R5,relu,100,8,30,15000,1.5,30,71,relu_p100_rt8_rs30_n15000_eta1.5_seed71.npz,0.9999999999261859,1.4053849059079526,0.07411722794470273,18.961649604009477,2.1932926303667836e-05,0.30454139626367654,0.8324304044431695,0.9271429000835423,557.0,7380.0,19.15189606718418,0.34376231965234205,0.7965044731827043,5180.0,0.00011138613861386139,0.26068007032666574,False
R5,relu,100,8,30,15000,1.5,30,83,relu_p100_rt8_rs30_n15000_eta1.5_seed83.npz,0.9999999999118265,1.4150358446014508,0.07110041306503709,19.901935637238658,0.00019325828275331693,0.09740557044913693,0.7368632569120058,0.9175422237574233,566.0,7460.0,20.998071708692542,0.397327103369874,0.7283039481352319,5860.0,0.0001923076923076923,0.2656712315985086,False
R5,relu,100,8,30,15000,1.5,30,97,relu_p100_rt8_rs30_n15000_eta1.5_seed97.npz,0.9999999999130998,1.4036830740556374,0.059540761448793236,23.57516161869789,0.0014544850354473824,0.4704525482342857,0.8486683139952068,0.9321947256853985,551.0,7200.0,24.070755294706316,0.4003553823084899,0.8460231621668483,4200.0,0.000225,0.25308592987083295,False
R5,relu,100,8,30,15000,1.5,30,101,relu_p100_rt8_rs30_n15000_eta1.5_seed101.npz,0.9999999999132224,1.415683776389398,0.11394076966086203,12.424734189553897,0.0015167050367338561,0.3247193872196199,0.746962625800014,0.9181440467509945,566.0,7540.0,12.96314648318102,0.4156447494837625,0.7374482454086531,5440.0,0.000125,0.2219670624695164,False
