label,act,r_t,x,seed,change,secant,peak
ReLU rt8 e1.5,relu,8,0.16,37,0.12629571759735558,3.157392939933889e-05,0.000661423397000396
ReLU rt8 e1.5,relu,8,0.16,41,0.23592175603754162,5.8980439009385405e-05,0.00027987775028211556
ReLU rt8 e1.5,relu,8,0.16,53,0.08949622405876922,2.2374056014692308e-05,0.0008948858950402314
ReLU rt8 e1.5,relu,8,0.16,67,0.21013493154938812,5.253373288734703e-05,0.0004971219843423961
ReLU rt8 e1.5,relu,8,0.16,71,0.1262683163881847,3.156707909704617e-05,0.000996712354930138
ReLU rt8 e1.5,relu,8,0.16,83,0.2608713151731914,6.521782879329785e-05,0.0002795428888953193
ReLU rt8 e1.5,relu,8,0.16,97,0.1713653299342951,4.284133248357377e-05,0.000635784740656224
ReLU rt8 e1.5,relu,8,0.16,101,0.08335510021858972,2.0838775054647428e-05,0.0009409264182939577
ReLU rt8 e1.5,relu,8,0.16,103,0.16487576412056004,4.121894103014001e-05,0.00080480285850733
ReLU rt8 e1.5,relu,8,0.16,107,0.25324294887695764,6.33107372192394e-05,0.0007353098647057717
ReLU rt8 e1.5,relu,8,0.16,109,0.20645479900268182,5.1613699750670455e-05,0.00044966136080063586
ReLU rt8 e1.5,relu,8,0.16,113,0.15610608421751682,3.9026521054379204e-05,0.0008545580318152379
ReLU rt8 e1.5,relu,8,0.16,127,0.125003175485339,3.125079387133475e-05,0.0006784349180023183
ReLU rt8 e1.5,relu,8,0.16,131,0.14208455643336348,3.552113910834087e-05,0.00041387899335227295
ReLU rt8 e1.5,relu,8,0.16,137,0.11000695244464564,2.750173811116141e-05,0.001061773888015006
ReLU rt8 e1.5,relu,8,0.16,139,0.22936436218679845,5.734109054669961e-05,0.0003238126072984917
ReLU rt8 e1.5,relu,8,0.16,149,0.26140186194036485,6.535046548509122e-05,0.0003845250412743907
ReLU rt8 e1.5,relu,8,0.16,151,0.1564067535307816,3.91016883826954e-05,0.0003861276060522667
ReLU rt8 e1.5,relu,8,0.16,157,0.1706158552339222,4.265396380848055e-05,0.00038109353288789683
ReLU rt8 e1.5,relu,8,0.16,163,0.20217262012042458,5.0543155030106144e-05,0.00047420766786938017
ReLU rt8 e1.5,relu,8,0.16,167,0.24068789951478065,6.017197487869516e-05,0.0007730577651717038
ReLU rt8 e1.5,relu,8,0.16,173,0.30241347736601554,7.560336934150389e-05,0.00024630940589420107
ReLU rt8 e1.5,relu,8,0.16,179,0.21197932760066718,5.2994831900166797e-05,0.0009890046040419635
ReLU rt8 e1.5,relu,8,0.16,181,0.18711131393854508,4.677782848463627e-05,0.00026845516402423985
ReLU rt8 e1.5,relu,8,0.16,191,0.15340297513118284,3.835074378279571e-05,0.0011278661054607726
ReLU rt8 e1.5,relu,8,0.16,193,0.20528647637904007,5.132161909476002e-05,0.0003326425771837813
ReLU rt8 e1.5,relu,8,0.16,197,0.12803652918112463,3.200913229528116e-05,0.0005054119561444037
ReLU rt8 e1.5,relu,8,0.16,199,0.17080799859072604,4.270199964768151e-05,0.0007776328386754525
ReLU rt8 e1.5,relu,8,0.16,211,0.12452221250939277,3.113055312734819e-05,0.0007564693111493209
ReLU rt8 e1.5,relu,8,0.16,223,0.2180334762599362,5.4508369064984046e-05,0.0004878719564403345
ReLU rt8 e1.5,relu,8,0.16,227,0.11062229139679547,2.7655572849198868e-05,0.0010655161826574552
ReLU rt8 e1.5,relu,8,0.16,229,0.2561663223808095,6.404158059520237e-05,0.0003755217223982592
ReLU rt8 e1.5,relu,8,0.16,233,0.21140173884501445,5.285043471125361e-05,0.000477099026738268
ReLU rt8 e1.5,relu,8,0.16,239,0.10586998371934964,2.6467495929837407e-05,0.0013104834420710552
ReLU rt8 e1.5,relu,8,0.16,241,0.13114971654606067,3.2787429136515165e-05,0.0007130451490705516
ReLU rt8 e1.5,relu,8,0.16,251,0.11592023914517358,2.8980059786293395e-05,0.00047160572829911285
ReLU rt8 e1.5,relu,8,0.16,257,0.19808279835589404,4.952069958897351e-05,0.0003196327193404502
ReLU rt8 e1.5,relu,8,0.16,263,0.13379819049852737,3.3449547624631844e-05,0.00037694866992150986
ReLU rt8 e1.5,relu,8,0.16,269,0.21168772061264252,5.292193015316063e-05,0.0012880640472129347
ReLU rt8 e1.5,relu,8,0.16,271,0.13372162266796184,3.343040566699046e-05,0.0004741058046179347
ReLU rt8 e1.5,relu,8,0.16,277,0.24105199375193753,6.026299843798438e-05,0.0007334458013040395
ReLU rt8 e1.5,relu,8,0.16,281,0.1603695347862477,4.009238369656193e-05,0.0007534092823911591
ReLU rt8 e1.5,relu,8,0.16,283,0.10875981456226136,2.718995364056534e-05,0.0005656892108147624
ReLU rt8 e1.5,relu,8,0.16,293,0.10546756048949468,2.636689012237367e-05,0.0006680582630612852
ReLU rt8 e1.5,relu,8,0.16,307,0.21299431911354683,5.324857977838671e-05,0.00046167270734111596
ReLU rt8 e1.5,relu,8,0.16,311,0.15076362527479537,3.769090631869884e-05,0.0008237365059205504
ReLU rt8 e1.5,relu,8,0.16,313,0.13811174254150949,3.452793563537737e-05,0.0007049822687730893
ReLU rt12 e1.5,relu,12,0.24,5,0.20436644636366774,5.109161159091694e-05,0.0003123133988104194
ReLU rt12 e1.5,relu,12,0.24,11,0.07693428751397247,1.9233571878493115e-05,0.0011125775640304027
ReLU rt12 e1.5,relu,12,0.24,23,0.08115565060710106,2.0288912651775266e-05,0.001036950131672875
ReLU rt12 e1.5,relu,12,0.24,37,0.05980845106629207,1.4952112766573016e-05,0.0008488894680458477
ReLU rt12 e1.5,relu,12,0.24,41,0.06400396295661248,1.600099073915312e-05,0.001047988930646805
ReLU rt12 e1.5,relu,12,0.24,53,0.07191924620022794,1.7979811550056986e-05,0.001123676376775788
ReLU rt12 e1.5,relu,12,0.24,67,0.08998993901460839,2.2497484753652097e-05,0.0010233157158933358
ReLU rt12 e1.5,relu,12,0.24,71,0.295666271233081,7.391656780827024e-05,0.0004092150413314338
ReLU rt12 e1.5,relu,12,0.24,83,0.15539647687263314,3.884911921815828e-05,0.0007211436490134676
ReLU rt12 e1.5,relu,12,0.24,97,0.12969698158848952,3.242424539712238e-05,0.0009924849062761386
ReLU rt12 e1.5,relu,12,0.24,101,0.07918445145458852,1.979611286364713e-05,0.0010540514189993778
ReLU rt12 e1.5,relu,12,0.24,103,0.032039346128977075,8.009836532244268e-06,0.0015837747873120212
ReLU rt12 e1.5,relu,12,0.24,107,0.0783261127943673,1.9581528198591823e-05,0.0010039280830887027
ReLU rt12 e1.5,relu,12,0.24,109,0.5212964394839115,0.00013032410987097787,0.000237617775177975
ReLU rt12 e1.5,relu,12,0.24,113,0.030953463446180995,7.738365861545249e-06,0.0014886131379791188
ReLU rt12 e1.5,relu,12,0.24,127,0.1977468721149923,4.943671802874808e-05,0.0005538528637291511
ReLU rt12 e1.5,relu,12,0.24,131,0.22855532623524355,5.7138831558810885e-05,0.00020356952696441957
ReLU rt12 e1.5,relu,12,0.24,137,0.07893647939414328,1.973411984853582e-05,0.0007212347954115341
ReLU rt12 e1.5,relu,12,0.24,139,0.21709801112374622,5.4274502780936556e-05,0.00034715421050383557
ReLU rt12 e1.5,relu,12,0.24,149,0.07426918399080895,1.8567295997702237e-05,0.0012594997218461803
ReLU rt12 e1.5,relu,12,0.24,151,0.2402118971080779,6.0052974277019474e-05,0.0005202263576209079
ReLU rt12 e1.5,relu,12,0.24,157,0.10415796978091807,2.6039492445229518e-05,0.0010975963267433981
ReLU rt12 e1.5,relu,12,0.24,163,0.0529750306506771,1.3243757662669275e-05,0.0011140348247934352
ReLU rt12 e1.5,relu,12,0.24,167,0.04967166315965654,1.2417915789914135e-05,0.0014405497002837053
ReLU rt12 e1.5,relu,12,0.24,173,0.06120733805749867,1.530183451437467e-05,0.0013123445939757464
ReLU rt12 e1.5,relu,12,0.24,179,0.05460344897198621,1.3650862242996554e-05,0.0013607068912292568
ReLU rt12 e1.5,relu,12,0.24,181,0.07328346201613989,1.8320865504034972e-05,0.001086710945944795
ReLU rt12 e1.5,relu,12,0.24,191,0.04753502578156743,1.1883756445391858e-05,0.0013988424814300683
ReLU rt12 e1.5,relu,12,0.24,193,0.027942245587386116,6.985561396846529e-06,0.0014732160613675773
ReLU rt12 e1.5,relu,12,0.24,197,0.09165047941131488,2.291261985282872e-05,0.001033783377356932
ReLU rt12 e1.5,relu,12,0.24,199,0.16584880887271025,4.1462202218177564e-05,0.0007670999136959032
ReLU rt12 e1.5,relu,12,0.24,211,0.04148448294734608,1.037112073683652e-05,0.001228716764461942
ReLU rt12 e1.5,relu,12,0.24,223,0.07307564065123973,1.8268910162809932e-05,0.0006054902326896994
ReLU rt12 e1.5,relu,12,0.24,227,0.08216734390077085,2.054183597519271e-05,0.0011685331357190346
ReLU rt12 e1.5,relu,12,0.24,229,0.08342641557636632,2.085660389409158e-05,0.0010679774524205198
ReLU rt12 e1.5,relu,12,0.24,233,0.1374076176233091,3.435190440582728e-05,0.00082905613912228
ReLU rt12 e1.5,relu,12,0.24,239,0.06625059622935736,1.656264905733934e-05,0.001329537647184628
ReLU rt12 e1.5,relu,12,0.24,241,0.19185114003342563,4.796278500835641e-05,0.0005811392891726263
ReLU rt12 e1.5,relu,12,0.24,251,0.5276619654423715,0.0001319154913605929,0.00023713319881221416
ReLU rt12 e1.5,relu,12,0.24,257,0.1242462880056564,3.10615720014141e-05,0.0009378320140722043
ReLU rt12 e1.5,relu,12,0.24,263,0.4005680665713831,0.00010014201664284577,0.00021938849350922363
ReLU rt12 e1.5,relu,12,0.24,269,0.09312504677709965,2.3281261694274913e-05,0.00088960802665963
ReLU rt12 e1.5,relu,12,0.24,271,0.16088592724978157,4.022148181244539e-05,0.0006890418332006296
ReLU rt12 e1.5,relu,12,0.24,277,0.06322630773964921,1.5806576934912304e-05,0.001381812255905411
ReLU rt12 e1.5,relu,12,0.24,281,0.059582307741684826,1.4895576935421206e-05,0.0005843197950724673
ReLU rt12 e1.5,relu,12,0.24,283,0.07433935599867592,1.8584838999668978e-05,0.0012320766442401663
ReLU rt12 e1.5,relu,12,0.24,293,0.4385501815583828,0.0001096375453895957,0.0005537578150452589
ReLU rt12 e1.5,relu,12,0.24,307,0.07102634508496852,1.7756586271242132e-05,0.0010802295774407615
ReLU rt12 e1.5,relu,12,0.24,311,0.0724555628756055,1.8113890718901378e-05,0.00121602650369859
ReLU rt12 e1.5,relu,12,0.24,313,0.06701424204255901,1.6753560510639754e-05,0.0012386873192233507
ReLU rt16 e2.0,relu,16,0.32,5,0.09295635591734369,2.3239088979335922e-05,8.530006582395219e-05
ReLU rt16 e2.0,relu,16,0.32,11,0.18101589137019278,4.525397284254819e-05,0.00030866005972981315
ReLU rt16 e2.0,relu,16,0.32,23,0.04965936836859905,1.2414842092149763e-05,6.600400547789059e-05
