config_id,label,width,learning_rate,head_multiplier,seed,loss_change,mean_even_start,mean_even_end,mean_even_gain,mean_odd_start,mean_odd_end,mean_odd_gain,mean_phaseavg_start,mean_phaseavg_end,mean_phaseavg_gain,min_even_start,min_even_end,min_even_gain,min_odd_start,min_odd_end,min_odd_gain,min_phaseavg_start,min_phaseavg_end,min_phaseavg_gain,rho2,r2
C3_w50_e060_h125,"$r_s=50,\ \eta=0.60,\ h=1.25$",50,0.6,1.25,373,-0.02213684336545858,0.3565036356449127,0.7133264541625977,0.35682281851768494,0.31377995014190674,0.6124721169471741,0.29869216680526733,0.33514179289340973,0.6628992855548859,0.32775749266147614,0.010921038687229156,0.4903833270072937,0.47946228832006454,0.015286022797226906,0.3781643807888031,0.3628783579915762,0.013103530742228031,0.4342738538980484,0.42117032315582037,0.9999786357158993,0.1844694166718554
C3_w50_e060_h125,"$r_s=50,\ \eta=0.60,\ h=1.25$",50,0.6,1.25,379,-0.03643609560511571,0.5376697778701782,0.854244589805603,0.3165748119354248,0.4524610638618469,0.7818325161933899,0.32937145233154297,0.4950654208660126,0.8180385529994965,0.3229731321334839,0.09705674648284912,0.7556737065315247,0.6586169600486755,0.04022878780961037,0.5942156910896301,0.5539869032800198,0.06864276714622974,0.6749446988105774,0.6063019316643476,0.9999787890701081,0.18778661263178195
C3_w50_e060_h125,"$r_s=50,\ \eta=0.60,\ h=1.25$",50,0.6,1.25,383,-0.023395888150888573,0.4821610450744629,0.8052016496658325,0.32304060459136963,0.4112738072872162,0.6990277767181396,0.28775396943092346,0.44671742618083954,0.7521147131919861,0.30539728701114655,0.05970020219683647,0.6243990659713745,0.564698863774538,0.05202661454677582,0.4784961938858032,0.4264695793390274,0.055863408371806145,0.5514476299285889,0.4955842215567827,0.9999835621630947,0.18407607416586888
C3_w50_e060_h125,"$r_s=50,\ \eta=0.60,\ h=1.25$",50,0.6,1.25,389,-0.026415142938699034,0.6420259475708008,0.8596904873847961,0.21766453981399536,0.5820433497428894,0.8070854544639587,0.22504210472106934,0.6120346486568451,0.8333879709243774,0.22135332226753235,0.3407038748264313,0.7781078219413757,0.43740394711494446,0.2912018895149231,0.6827504634857178,0.3915485739707947,0.3159528821706772,0.7304291427135468,0.41447626054286957,0.999971388120442,0.1855115677931527
C3_w50_e060_h125,"$r_s=50,\ \eta=0.60,\ h=1.25$",50,0.6,1.25,397,-0.050010686633562326,0.5705434083938599,0.8630852699279785,0.29254186153411865,0.5082463026046753,0.8244525790214539,0.31620627641677856,0.5393948554992676,0.8437689244747162,0.3043740689754486,0.12919528782367706,0.7759222984313965,0.6467270106077194,0.12202179431915283,0.7425814270973206,0.6205596327781677,0.12560854107141495,0.7592518627643585,0.6336433216929436,0.9999733895619493,0.18339708840565996
C4_w60_e050_h100,"$r_s=60,\ \eta=0.50,\ h=1.00$",60,0.5,1.0,227,0.003811406104854737,0.5691888928413391,0.8559352159500122,0.2867463231086731,0.5290183424949646,0.8106873631477356,0.281669020652771,0.5491036176681519,0.8333112895488739,0.28420767188072205,0.03822488710284233,0.7790699005126953,0.740845013409853,0.01847892627120018,0.7436015605926514,0.7251226343214512,0.028351906687021255,0.7613357305526733,0.7329838238656521,0.9999823774020297,0.14482683953369976
C4_w60_e050_h100,"$r_s=60,\ \eta=0.50,\ h=1.00$",60,0.5,1.0,229,-0.006302308893575623,0.5393465161323547,0.6809772253036499,0.14163070917129517,0.4837501049041748,0.6136066317558289,0.12985652685165405,0.5115483105182648,0.6472919285297394,0.1357436180114746,0.004364172462373972,0.05612409487366676,0.05175992241129279,0.0038193012587726116,0.014586604200303555,0.010767302941530943,0.004091736860573292,0.03535534953698516,0.03126361267641187,0.9999810430555621,0.1502725481516201
C4_w60_e050_h100,"$r_s=60,\ \eta=0.50,\ h=1.00$",60,0.5,1.0,233,0.03092232125925979,0.5793320536613464,0.841879665851593,0.2625476121902466,0.511398196220398,0.7994104623794556,0.2880122661590576,0.5453651249408722,0.8206450641155243,0.2752799391746521,0.14431491494178772,0.6468386054039001,0.5025236904621124,0.011501767672598362,0.5883827805519104,0.576881012879312,0.07790834130719304,0.6176106929779053,0.5397023516707122,0.9999607598670408,0.14451159619385504
C4_w60_e050_h100,"$r_s=60,\ \eta=0.50,\ h=1.00$",60,0.5,1.0,239,0.006358883091777746,0.5963440537452698,0.808136522769928,0.2117924690246582,0.5477827787399292,0.7192762494087219,0.17149347066879272,0.5720634162425995,0.763706386089325,0.19164296984672546,0.06373289227485657,0.6134852766990662,0.5497523844242096,0.026446036994457245,0.3064486086368561,0.28000257164239883,0.045089464634656906,0.4599669426679611,0.4148774780333042,0.9999900620268003,0.14364266077272209
C4_w60_e050_h100,"$r_s=60,\ \eta=0.50,\ h=1.00$",60,0.5,1.0,241,-0.004281251917176922,0.5464715957641602,0.839579164981842,0.2931075692176819,0.4662141501903534,0.7812324166297913,0.31501826643943787,0.5063428729772568,0.8104057908058167,0.3040629178285599,0.02678324654698372,0.7596426606178284,0.7328594140708447,0.15879403054714203,0.6557896137237549,0.49699558317661285,0.09278863854706287,0.7077161371707916,0.6149274986237288,0.9999815704515546,0.14028731008152312
